Author,Location,Date,Comments,Rating
Shara,"San Juan, TX","Reviewed March 19, 2022","From beginning to end! The Rocket Mortgage team was so nice and helpful, always being on top of my loan and helping with everything! Steph was awesome! When I needed something explain he will no questions ask. I loved the service.",5
Jose,"Lawrenceville, GA","Reviewed March 18, 2022","My experience with the Rocket Mortgage team was great, especially, Christine **, who guided us along the way. The only thing that kept our experience from a total success, was the time that it took to get us close, and the constant amount of document request that we had to provide. But, we are grateful, and satisfied with everything else.",4
Donald,"Plantation, FL","Reviewed March 18, 2022",Samantha was a great help with everything involving the re-fi. She answered all of my questions and followed through on everything. She was knowledgeable about how to fine-tune the transaction to meet my needs and take care of them. She was also very prompt in returning my calls and took the time to find out the answers to all of my questions. Great job!,5
Karen,"Newfield, NY","Reviewed March 17, 2022","You have an excellent team working for you. This is the third time refinancing my home and I have never had any problems with it. If I did, I would call and someone would help me. Very professional and courteous.",5
Bryan,"Gravette, AR","Reviewed March 17, 2022","I called my lender to find out why my loan had increased 21k from my forbearance. The lady was harassing, threatening, and wouldn't listen to me. I had to ask several times for her supervisor and each time she would state they would say the same thing she was. I finally had to request the supervisor over and over to finally to get connected to a supervisor who is off today. So instead of connecting me a supervisor for help I got sent to a voice-mail. This is the worst customer service I have ever dealt with.",1
Adolphus,"Ellenwood, GA","Reviewed March 16, 2022",My agent Mr. James ** was very helpful and knowledgeable. He help me put my package together with ease. I would like to think Rocket Mortgage for having faith in me. And I would like to thank Amrock for making my signing of the closing Document easy.,5
Toby,"Old Hickory, TN","Reviewed March 14, 2022","I have been a client of Quicken/Rocket for ~10 years and for that reason I gave Quicken/Rocket the first opportunity for my business and you were initially unable to even match closing costs/rates with AmeriSave (~$2000 - ~$3000). I then proceeded with a refinance through AmeriSave for cheaper costs and a better rate. Scott ** with Quicken/Rocket contacted me only after receiving my payoff request from AmeriSave. Looking back now, I probably should have not stopped the refinance process with AmeriSave when Scott **contacted me. This scenario of having Scott call me after Quicken/Rocket received my Mortgage payoff request from AmeriSave now seems questionable and possibly a business tactic rather than a best practice. But either way I thought I would be considerate.More",2
Jack,"Mount Shasta, CA","Reviewed March 14, 2022","I called Rocket Mortgage in February of 2022 and they referred me to Andrew ** who wouldn't give his last name on a recorded line. I told him I simple wanted a rate quote to refinance my house. I asked him at the time if this would be reported on my credit report. He told me that it was a ""Soft Credit Check"" and it wouldn't go on my credit report. This was not correct and it not only appears on Credit Karma, but when I ultimately went with another lender I had to write a letter of explanation on why this credit check by Rocket Mortgage was appearing on my credit? I plan to file a complaint with the NMLS, the Lender Board and the State Attorney General of California.More",1
Gilbert,"Carson, CA","Reviewed March 13, 2022","I originally called Rocket Mortgage to help me refinance my Mortgage for a lower rate. I am a Veteran trusting on their knowledge and honesty, but the service I received was inconsistent and untrustworthy. Rocket Mortgage Agent Chad did not seek for my best interest or else he did not know what type of loan would be best suited for my need. Their specialist Agent Jack had to be assigned to me. Jack worked on the loan and after 2 Appraisal on my home, they still could not get the loan completed. Jack said that a Third Appraisal was needed now, because the 2 Appraiser was not able to satisfy the lender's requirement, but did not disclose to exactly what the reason was.More",1
Misty,"Vero Beach, FL","Reviewed March 12, 2022","First off Joe ** was amazing with his patience, understanding of our situation, great communication, and very informative. When we finally crossed over to our experience with Roxy so she was equally as helpful. Joe just had a lot more time with us. Rocket does make the entire process easy and we will definitely use Rocket for our future needs.",5
Lawrence,"Fishersville, VA","Reviewed March 12, 2022","I found a new job and needed to move quickly from Colorado to Virginia. Rocket Mortgage got me prequalified quickly, recommended a super good real estate agent who found an excellent house on a good piece of land. They worked through a myriad of details on qualifying the loan and getting to closing. The entire team was friendly, personable, and highly professional. Costs were really good and timing was excellent.",5
Tim,"Murrieta, CA","Reviewed March 11, 2022","Got a cash out re-fi through Rocket. Took almost 3 months. In the end they said we had credit card debt that they would pay by withholding some of our money. We provided documentation showing that the debt had been paid off. They refused to give us OUR money and instead sent it to the credit card company, and told us we would have to get a refund from them. The people I dealt at Rocket with were always polite, but the unreasonableness and incompetence really left me wondering. Rocket Mortgage? Never again....",1
John,"Raton, NM","Reviewed March 11, 2022",I spoke with Rocket not a year after a previous refinance. I was told they could remove my mortgage insurance if they could refinance my mortgage. I specifically spoke to a rocket mortgage employee last year and they advised it could not be removed. I feel that this was not removed prior as they could have a reason to come back later to offer to take it off and again charge me closing costs again.,2
Carolyn,"Plymouth, MA","Reviewed March 11, 2022",I love Rocket Mortgage and tell every one I can how great my experience has been. They make everything easy and stress free. I also have access to someone at all times to help with my questions. They are responsive and are there for you every step of the way. I can't say enough about my experience purchasing and then refinancing my home. They have a loyal customer (and I work for a bank!),5
Aaron,"Waterford, CA","Reviewed March 10, 2022","My number was sold to 3rd parties, I received hundreds of solicitor calls from early morning till late at night. Starting at 5am call after call not stopping until 10 pm. This happened the very next day after the loan closed. You guys made thousands of dollars from my loan. How much money is enough? Can’t imagine how much is made from the sale of personal info, but it makes life hell to have to tolerate my phone ringing every few minutes for days on end. Not happy.",2
Doug,"Queensbury, NY","Reviewed March 10, 2022","Overall had a good experience with the Mortgage Process. We needed to overcome some challenges with closing on the seller's end, but we managed to work through the issues without too many difficulties. Very responsive to helping when help was needed. Two thumbs up!!",5
Rebecca,"Cornelius, NC","Reviewed March 9, 2022","Everything part of this process was simple, clear and customer friendly. The software that Rocket uses is very intuitive, and being able to do the application online made the paperwork seem effortless. We were surprised at how quickly we went from application to closing.",5
Debra,"Douglasville, GA","Reviewed March 9, 2022","Every staff member I spoke with was courteous, professional and quick to respond. Love the online process of uploading and tracking the progress of the mortgage package. Process flows seamlessly from start to finish. We closed within 14 days of initial app.",5
Elaine,"Clifton Park, NY","Reviewed March 8, 2022","This company is borderline harassing me. I had one conversation with them and then let them know I had decided to go with another lender. I have since received 3 emails, 2 texts and 4 phone calls from 2 different agents trying to get my business. All in a 3 day span. I wouldn't give them business if you paid me to at this point.",1
Jermaine,"Mcdonough, GA","Reviewed March 8, 2022","Loved the process, great rates, super friendly and helpful staff…no matter who I spoke to or why during the smooth refi process. I highly recommend using Rocket Mortgage as one’s home lender on the strength of the great rates, smooth processes and superb customer service team! Special thanks to my associate Katie M. She was awesome!!",5
Kenneth,"Eugene, OR","Reviewed March 8, 2022",Overall great experience. Easy compared to other potential lenders. Super helpful through the entire process. I would recommend RM to anyone else. My loan manager was especially great along with everyone else.,4
Karl,"Henderson, NV","Reviewed March 6, 2022",It was easy working with Rocket Mortgage and I am very happy with the rate I received. It did take an little extra time to close but I am very satisfied with the experience. The closing and the handling of all documents via the internet was an easy.,5
Annette,"Covington, LA","Reviewed March 4, 2022","As always my whole experience with Rocket Mortgage has been wonderful. Hassle free, would recommend to anyone. Love the idea it can be all done from home. Heard how hassle free Rocket Mortgage was years ago but did not believe it until I first applied Had friends on facebook that gave Rocket Mortgage rave reviews, so that is when I seriously decided I would try it..",5
James,"Waukesha, WI","Reviewed March 3, 2022","The loan process was smooth, almost everything was done electronically. However, the payoff checks were issued checks. The difficulty was adjusting the payoff amounts, almost all the checks were over paid. Even after I uploaded the statements, only a couple checks were updated. Now I'm having to chase down my accounts to get a refund. And some of them are going back to Amrock then I need to follow up with you to get it back. This is very redundant specially in a digital age we're in and Rocket is all about ""e"" processing. I understand the security reasoning but ACH depositing back into my account is not too much to ask when it's the same account number that you have for years. Disappointing actually.",4
George,"Hockessin, DE","Reviewed March 3, 2022","The entire mortgage refinance process was handled professional with excellent listening and knowledgeable employees. The settlement process was streamline and the attorney settled the closing at our house. She was very knowledgeable and answered all our question with a calm voice. The Rocket Mortgage Team was caring, and very professional attitude from start to finish.",5
Matt,"Canal Winchester, OH","Reviewed March 2, 2022","Overcharged closing cost, closed HELOC loan without authorization or notification, I requested a loan of a certain amount to pay off my debt and the closing cost was taken out of it and then my HELOC was close so I cannot justify the whole loan. Totally pointless. I will search to change companies as soon as possible. I will no longer deal with you.. I will never recommend you.",1
Allan,"Culver, OR","Reviewed March 2, 2022",Everything went well. No major problems. I had a great team. They took care of any concerns and stayed in touch with me the whole way. I have worked with several teams over time and cannot praise them enough. Totally painless experience each time I have had any questions or needed assistance.,4
Sharlene,"Clermont, FL","Reviewed March 2, 2022",The process was seamless however I have yet to receive the refund owed to me. I completed the information online for auto deposit into my account but then had to also complete it for the refund to be mailed at the closing. The confusion with this was a bit frustrating.,5
Ricardo,"Aventura, FL","Reviewed March 1, 2022","Loved all about the process with Rocket, they made it easy for me to get my loan quickly and successfully close without any issues, also their high-tech approach by allowing customers to manage requirements via the dashboard is amazing. What I loved the most, was the people working for Rocket, very professional and very responsive.",5
Tracy,"Goodyear, AZ","Reviewed Feb. 28, 2022","My experience with Rocket Mortgage staff was magnificent. Everyone I encountered was professional, friendly and assisted in all aspects of the loan request. I was assisted during different hours of the day and had calls returned after a dropped call. I found the process quite easy. I would highly recommend your company to family and friends.",5
Janice,"Washington, DC","Reviewed Feb. 28, 2022","I've refinanced before and had a fine experience, but this entire process with Rocket has convinced me that if I EVER need to do this again, I would not hesitate to use Rocket. My loan advisor, Jenna, was superb at communication, explaining and re-explaining as needed, and keeping me up to date on the process. I found the interface for 100% of my interactions on my phone to be excellent. The app works very well. Each time I called I did speak to a different person, but each was very knowledgeable and consistent with their customer service and ability to answer my question or fix my problem. I am extremely happy with this process and will recommend to a friend, for sure.",5
Anthony,"Yaphank, NY","Reviewed Feb. 28, 2022","The experience was good, all the folks, from all the different departments, were helpful, knowledgeable, and nice. It was a very positive experience, and it cost less than my current loan holder. I would recommend Rocket to friends that might be looking for a loan or refi.",5
Constance,"Wenatchee, WA","Reviewed Feb. 26, 2022","Applied for a refinance. Received an initial loan estimate. Met with my approval. When it came to the actual loan process there was an additional $5,000.00 added to the loan estimate. On a $240,000.00 loan. An extra 2.1%. I was already facing higher fees due to my credit rating. Also, they were very aggressive with me. Asking for passwords to my retirement account, demanding information within the same day, double teaming me with two representatives. If you feel pressured, pushed or pulled, walk away. I did.",1
Craig,"Salisbury, MD","Reviewed Feb. 25, 2022",We wanted to remortgage our home and do some upgrades to the home. We looked to a few mortgage companies and came across Rocket. They were thorough and quick at remortgaging our home. Thanks so much. I would suggest them anytime to friends and family.,5
Luis,"Cypress, TX","Reviewed Feb. 25, 2022","This was my 2nd time refinancing with Rocket Mortgage, I would not choose another lender. Both times, the process has been so smooth and easy. The online access is very easy and efficient and the customer service each and every time I call for anything is top-notch. Thanks, Rocket Mortgage.",5
Terry,"Hurricane, UT","Reviewed Feb. 25, 2022","Rocket Mortgage makes the compete Refinancing process as simple, understandable and perfect as it can be. They cross every T and dot every I before you even think of a question to ask. A very pleasant and welcome experience. Of course, with agents like Nicholas **, it wouldn't be anything but the best! Thanks Nick!",5
Danielle,"Dothan, AL","Reviewed Feb. 24, 2022","I had a super easy experience refinancing my home. Communication was clear, expectations were clear, and it was fast! Everyone was on the same page and knew exactly what needed to be done! Thank you for making this super easy!",5
Michelle,"Lakeport, CA","Reviewed Feb. 22, 2022",My only complaint was with the amounts for my creditors wern't correct and one check was made out to the wrong creditor but overall the people that I contacted about the issue were quick and accurate. I will recommend to a friend.,3
Collin,"Euless, TX","Reviewed Feb. 22, 2022","Chase our Mortgage professional sneak onto the closing disclosure points that we had to buy. He did this without my consent and practically stole 3,000 dollars from me. By the time we saw this discrepancy we were told sucks to be you and if we back out we would lose the home we were trying to buy. DO NOT DO BUSINESS WITH ROCKET MORTGAGE.",1
Timothy,"Surry, NH","Reviewed Feb. 21, 2022","NoI provided every document you asked for and there were no issues until 10 days after the closing took place. 10 days after the closing I still had not received my disbursement and had to call and ask what was going on.. Oddly enough, every other time you needed something I got an infinite number of emails from you. The gent in charge of the payouts was away and someone else spoke with me. Issue resolved...10 days late. Then, believing the payout to TD Bank Autofinance had been made by you, as I was told it would be, I received a UPS package with a check made out to TD Bank...you never sent it to the bank and it was made out for the wrong amount. Sloppy sloppy sloppy at the end. I suppose one could argue that these are Amrock Title Services errors, but I refinanced with you..they represent you, so they are your issues.",3
Pamela,"Brookdale, CA","Reviewed Feb. 21, 2022","Quick, easy and simple process to refinance and get cash out of our real property equity. Very pleased with the process and people. I appreciate the digital upload of documents and the fact that Rocket took into consideration I was an existing client so did not have to provide the volume of documents usually required. My sales officer was knowledgeable and put together a proposal quickly after telling him what we wanted to achieve.",5
Jean,"Madison, GA","Reviewed Feb. 21, 2022",Everyone was very helpful and answered and our questions in a professional and timely manner. We would recommend Rocket to friends and family. Rocket kept us informed on a daily basis as to anything needed to complete on our end and what they were working on for their end.,5
Cassie,"Gaines, MI","Reviewed Feb. 19, 2022",Shane ** was great to work with when getting preapproved for our new home and when closing on it. He was personable and knowledgeable. I would highly recommend Rocket Mortgage to any of my friends who want to purchase a home in the future. Rocket Mortgage was recommended to us by several people and I am glad we went with them.,5
Brenda,"Stockbridge, GA","Reviewed Feb. 18, 2022","We were delighted with Rocket Mortgage from the start to the closing. The only thing that kept our rating from 5 stars is being barraged with mortgage insurance offers! Five notices in the mail, four almost identical on pink paper, two phone calls and a text (when I didn't answer the call)! I did text back asking to be removed from this list. I hate that our wonderful experience is blemished with this kind of unwanted pressure. We would still recommend Rocket Mortgage, but would warn anyone about what to expect after.",4
Jennifer,"Albuquerque, NM","Reviewed Feb. 17, 2022","Our banker Nelson ** was knowledgeable and very positive to work with. In fact the entire team at Rocket are pleasant and professional, and the website is easily negotiable. The partnership with Amrock to close is seamless. Efficient, professional, and painless!",5
Jack,"Bakersfield, CA","Reviewed Feb. 17, 2022",As above. No one could find the documents I uploaded. These were original Turbotax files that could not be opened by Rocket and I was told they could only open one page in the Documents. I would like to have those documents back if at all possible.,5
Todd,"Hoosick Falls, NY","Reviewed Feb. 16, 2022",Ok let's see. From Brent to the whole crew of great folks. Thank you for all the hard work. We put you guys and gals through Hell and back. For 2 years we all have been through a lot of ups and downs. What makes it even better. Rocket team never gave up on us. We stayed strong and so did each and every one of you. We found our dream home and you guys drove us there. We can't thank you enough. We love you guys.,5
Emily,"Greer, SC","Reviewed Feb. 16, 2022","We had a great and easy experience with Rocket Mortgage. Our expert Fabio communicated with us in ways that were convenient for our busy lives. I didn't miss the local presence, because of how responsive Fabio was. I'd definitely recommend the Rocket experience to my friends.",5
William,"Palm Desert, CA","Reviewed Feb. 16, 2022","Process was good at first but then after taking all my information, given a rate and type of loan I qualified for, it all changed. The rate was increased. The type of loan was changed and your underwriter was not pleasant to work with. She pretty much told me, ""Take or leave it"" and did not want to hear me out why she was wrong. I was on a time a limit to get this loan and I had already wasted 2 weeks with Rocket. I will probably never work with you again.",3
Vijaya,"Escondido, CA","Reviewed Feb. 16, 2022",Very pleased with process and service. Your service banker was very knowledgeable and gave the best mortgage that suit my long term plans and terms. Your closing partner Amrock was very efficient as well. We appreciated the updates at every level.,5
Todd,"Ogden, UT","Reviewed Feb. 16, 2022","I have noted the many 5-star reviews for Rocket Mortgage, but unfortunately did not have a similar experience. After paying off my HELOC, RM refused to issue me an intent to reconvey letter so I could clear the title to my home. They told me I would need to wait up to 3 to 4 months until the “paperwork” went through the system. By the way, the loan was paid off with a direct wire transfer from Charles Schwab, so the excuse of “waiting until the check cleared” was dishonest.",1
Todd,"Williamston, MI","Reviewed Feb. 15, 2022","Everyone I dealt with was very diligent and patient with during the loan process. A lot of things had to happen to get my mortgage approved. Samer, Camerin, Sarah were all very responsive, they were able to find the right loan that I qualified for, looking forward to moving.",5
Hunter,"Franklin, TN","Reviewed Feb. 15, 2022",Excellent thanks to everyone that helped on my refinance. Absolutely best experience and would highly recommend Rocket Mortgage to anyone. Thank you again so happy with making the decision to switch companies. So much easier to work with than any other company.,5
Darryl,"Cincinnati, OH","Reviewed Feb. 14, 2022","I never knew a company could have a great personality. Everyone treat me like a king. Thank you. Tanner S did wonderful job of helping me with a crazy sister in law and failed effort to buy a home, but quick move to refinance my home was better.",5
Chris,"Barbourville, KY","Reviewed Feb. 12, 2022","I wasn't even planning on refinancing. I reached out via chat to ask about home equity. The representative suggested looking at refinancing due to interest rates still being low. Within a few minutes, she ran my credit, and I came out with a cheaper payment, lower interest rate, and $28,000 in my pocket from equity. We closed in three weeks to the day I first reached out. I could not be happier with the process. It was simple, stress-free, and very fast.",5
Paul,"Waynesville, NC","Reviewed Feb. 11, 2022","Rocket Mortgage did an excellent job. Every phase of the process went smoothly, except one. I was told I would not have a mortgage payment for February, but the money was deducted anyway. When I brought this to the attention of Rocket Mortgage I was told it could take up to a month to get my money back. It was direct deposit. I think it could have been returned the same day.",5
Cecil,"Arlington, TX","Reviewed Feb. 11, 2022","Never knew if Rocket was going to refinance my loan till the last minute. With a credit score over 800 and $170,000 equity and asking for $20,000 cash out. I was in the process of seeking to secure another loan from another company. Probably would not recommend Rocket mortgage to friends or family.",2
Dan,"Mesa, AZ","Reviewed Feb. 10, 2022","I was boosting for over 6 months about this company and refuse to talk with anyone else. Uploaded all financial doc's proof of income, or 1099'2. etc. They were satirist and gave pre approval 15 yr. Would get a final till open escrow then it changed with 3 days to perform. They said with the income have to be 30 year loan. Income was to the penny of what was uploaded on their portal. Their obvious plan tell me what I needed to hear and once all the pressure agents, escrow seller, etc I would simply accept a longer term higher rate! I canceled and contemplating litigation. It is outrageous stated first payment and to the penny how much to bring to escrow and e signed that I promised to move forward. They changed last minute ...Bait and switch. Unbelievable. I owned their stock which I now sold as well. I hope they fail miserably!",1
James,"Jacksonville, NC","Reviewed Feb. 10, 2022",Very professional. Understanding quick closing and understanding your needs not a lot of hassle. Right to the point will help you every step of the way. Very pleasant people to work with. Would use Rocket Morgage again if needed. Want to say thanks for everything.,5
Karel,"South China, ME","Reviewed Feb. 10, 2022","From start to finish, the loan process was seamless and efficient. Agents were helpful, knowledgeable and eager to help in any way necessary. We especially appreciated being able to apply from home and to even close at home. We would highly recommend Rocket Mortgage to our friends and family.",5
Stephanie,"Manila, AR","Reviewed Feb. 10, 2022",Every single person I dealt with through the refinance process was very friendly and very helpful. The whole process was very quick from applying date to closing date. I would recommend Rocket Mortgage to anyone in the market to buy or refinance.,5
Noam,"Washington, DC","Reviewed Feb. 10, 2022",Great customer service through and through. From the initial phone call until the closing date. All of my questions were answered promptly. Through the phone or the online chat. I'm very pleased with the overall experience. Will definitely recommend to friends and family.,5
Michael,"Snellville, GA","Reviewed Feb. 10, 2022",Rocket Mortgage was a great help and made my purchasing experience very easy. They helped step by step with reminders without being intrusive. This made me get to my closing date without any worry because I knew everything was ready.,5
Susan,"Corsicana, TX","Reviewed Feb. 8, 2022",My husband mainly dealt with Rocket Mortgage. According to him every member was very professional and pleasant to deal with. When he had a question they were readily available to answer it or find the answer for him. The refinancing process went fairly smoothly for us and the closing date was agreeable with us.,5
Wayne,"Atlanta, GA","Reviewed Feb. 8, 2022","Entire process was seamless. I really enjoyed not having to have phone conversation with anyone throughout the entire experience. The initial chat with Courtney ** was quick and very informative The visual to-do-list for my tasks and also Rocket Mortgage's tasks were very helpful and made it very simply to see where the process stood. To close, I dont plan on ever using another company for a mortgage. Even if I can find a lower rate elsewhere, the ease of the closing process with rocket mortgage can't be beat.",5
Eddie M,"Kissimmee, FL","Reviewed Feb. 8, 2022","Good experience at this mortgage company, also just We recommended to the people and clear and easy process. They are Efficient, Diligent and Pleasure with work with them. To take an excellent pleasure sweet and patience way, when you work with Rocket Mortgage.",5
James,"Suwanee, GA","Reviewed Feb. 7, 2022","From the first contact t with Rocket Mortgage, I was treated with respect and there was professionalism from every point of contact. The process was concise and took very little time. There were no complications and the entire process took less than three weeks.",5
Eric,"Goshen, VT","Reviewed Feb. 7, 2022","Throughout the process I felt as if Rocket requested more and more information after having received the same information already. Additionally, at times, it was difficult to get a call back in a timely fashion. As my original mortgage was with you, I understand there are federal guidelines, but I had to do more to prove my ability to repay this loan than I did my original loan. But the real frustrating and aggravating part of the process was with Amrock as we moved toward closing.More",3
Jorae,"North Port, FL","Reviewed Feb. 6, 2022",It was pretty pleasant but took a really long time to complete and pretty costly. We actually got a cancellation so at one point we thought it was not going thru and finally someone called us and got it all straightened out.,4
Sylvia,"Kirkwood, MO","Reviewed Feb. 6, 2022","We started our process with Cecilia **. It was a very confusing conversation (at some point she said she was confusing herself). We were told many times we'd get a call back, and ending up having to call ourselves to find out where they were in the process. We even at one point talked to Cecilia's boss. The cost of closing keep on changing. It was not a good experience. We finally got things done.",2
Katherine,"Lawrenceville, GA","Reviewed Feb. 6, 2022","From the beginning, Dustin made our refinance easy to understand and guided us through the process. Anyone who has ever called me from Rocket Mortgage’s processing team have been very helpful. I appreciated the timeliness in which we were able to close as well, and the closing process which took less than 30 minutes. Would recommend Rocket to anyone!",5
Mary,"Copperopolis, CA","Reviewed Feb. 4, 2022","Everything about this was efficient and done in a timely manner. There were no delays and everything was done as promised. Every single person we dealt with was pleasant, knowledgeable and always took the time to listen to any questions and answer professionally. Could not ask for a better experience.",5
Annie,"Spicewood, TX","Reviewed Feb. 3, 2022","My homeowners insurance policy paid out a sizable claim to repair damages which occurred in a state of emergency weather event. The check was made out jointly to me and my lender. I followed instructions by my lender to endorse the check and send to them. I have been disputing which repair services required a licensed contractor per state law. The employee at the lending company assigned to my claim thought it appropriate to advise me to “google” the laws, when I requested documentation of that law. I requested the law in writing because I already had informed my case specialist that her information was incorrect. I took my case specialist advice and “googled the law”.More",1
James,"Colorado Springs, CO","Reviewed Feb. 3, 2022","Our refinance activity was very, very good! The process was easy because we were able to use the existing loan's information as the base, thus avoiding the need to submit lots of new documents and having to get information. The closing was smooth and professional..",5
D,"Chicago, IL","Reviewed Feb. 3, 2022","I’ve been working with Rocket Mortgage/Quicken Loans for many years and they are my go to mortgage company. The process is always easy and thorough, yet fast. The portal makes it super easy to upload your documents and check the status of the loan process. Whenever I have mortgage needs, Rocket is my go to mortgage company.",5
Robert,"Loganville, GA","Reviewed Feb. 2, 2022","After my initial inquiry, I was contacted by a loan officer who helped me consider my options. From time to submitting the application to final closing was approximately 15 days. The process had very few snags and overall the experience was great. I say snags only because each day I was responding to requests - but that is how any refi goes. :)",5
Willie,"Mitchellville, MD","Reviewed Feb. 2, 2022","Laura **, guided me in the right path with great expectation to get my loan refinance from beginning to end. She was truly direct and contacted me even on her off days when I had questions. Great dedication. I have informed my friends and family about my great experience. Thanks",5
Jeri,"Bowling Green, KY","Reviewed Feb. 2, 2022",Everything about the process of this refinance was outstanding! I had already been a customer of Rocket but this second refinance was even better than before. Ardi stayed in touch and did what he could to get a lower rate. He was personable and definitely know his job! Amrock was good to work with too. Their closing agent Brad ** accommodated our time and location to meet. He was personable and efficient. I couldn’t have asked for a better overall experience with Rocket.,5
Linda,"Cedar Hill, TX","Reviewed Feb. 2, 2022",The process was smooth and quick. Took care of my personal needs and I would totally recommend to family and friends. Also went from a 30 year term to 15 year term and saved several thousands of dollars. Super excited to move forward.,5
Clinton,"Ashley, IN","Reviewed Feb. 1, 2022","They inundated me with calls trying to sell me a mortgage without telling me they had already purchased my current mortgage. Took them a month to let me know, by then my payment was late. I’ve never had a late payment before. Since they didn’t let me know, I had recycled a check from them that appeared to just be more junk mail promotional material.More",1
Heber,"Easley, SC","Reviewed Feb. 1, 2022",Quick and easy. Just had to sign a few papers and provide documents. They handled the rest. We're able to reschedule with ease after I got sick. Would highly recommend to new home buyers or those looking to refinance their mortgage.,5
Scott,"Inwood, WV","Reviewed Feb. 1, 2022",Hard to believe how simple and stress free this was. Any small changes were handled quickly. Everything flowed fast. Closing at our house was simple and convenient. Unlike any other real estate transaction we’ve ever had as it’s usually stressful with big problems popping up regularly.,5
Chris,"Greensburg, PA","Reviewed Jan. 31, 2022",Only issue I had was a misspelling of a name on the documents. I went back and forth several times before finding out that it was not going to be an issue at closing. So maybe better listening and better understanding could have helped.,4
Jenna,"Silver Spring, MD","Reviewed Jan. 30, 2022","I was generally happy with my refiance experience but during the initial refinance I was told taking my ex-husband off of my mortgage would be a qualifying event for the refinance. When my closing stalled for 2 weeks, I was later told since the interest rate and term was the same and I wasn't taking cash out, the refinance wouldn't process. I then had to pay $1,000 to lower my rate 1/8 of a point and get the refinance to process. It was frustrating having to deal with this when I had been told otherwise initially. Additionally, I was frustrated that no one had reached out to me in the two weeks to clarify the situation when they were having issues.",3
Clarence,"Uppr Marlboro, MD","Reviewed Jan. 30, 2022","My experience with Rocket Mortgage was very fast and highly efficient. My customer representative Chloe ** was very knowledgeable, friendly and explained things as we went along. She is truly an asset to this company and her assistance didn't go unnoticed by me. My only concern was, I believe that the fees were high to obtain my refinance though.",5
Corisse,"East Rockaway, NY","Reviewed Jan. 29, 2022",From my first phone call the representative was friendly and professional and had my best interest in helping with our refinance. Everyone else thereafter were the same. The process went quick and smoothly right up to closing. I highly recommend Rocket Mortgage for all your mortgage needs!!,5
Jose,"Rockville, MD","Reviewed Jan. 27, 2022",We had a great experience. We expected the process to be challenging considering the circumstances of the pandemic but the process as a whole was very streamlined. We had wanted to do this for a long time and glad we took advantage of the rates. Definitely would consider again in the future.,5
Nancy,"Springdale, AR","Reviewed Jan. 27, 2022","Staff were great and very professional. The process to get things done was good, till I had to submit and explain and inquire on my credit score. I had to explained to 4 different staff what was going on with that matter, and for some reason that same matter kept on coming on my record, and staff not communicating among themselves about this matter. I had to literally explain the same matter to 4 different staff members on different occasions/dates.",4
Curtis,"State Road, NC","Reviewed Jan. 27, 2022","Outstanding people. I've never been through this process, but the banks did not treat me the way these two have. I felt important, like was their only client. The process was very personal and Andrew Z. was professional yet personal with me. I always felt as I could could call and ask anything at anytime without being a burden. I don't think I would have made it through all of the FHA hoops without Andrew and Angela. Thanks you two.",5
Leslie,"Ridgefield, WA","Reviewed Jan. 27, 2022","My refinance started like any other with a fantastic mortgage banker named Michael **. He was available when needed and was able to communicate in a respectful, thoughtful, and professional manner. It was joy working with Michael. I would strongly recommend Michael to all my friends and family. Nevertheless, documents were submitted and all was progressing until it was determined my ag-zoned property did not qualify for jumbo lending. I didn't have time to become crestfallen because Kurt ** called to save the day and the transaction. He is a superior Solution Consultant. He identified another way to get the refinance completed. Once again the process was initiated and with the highly skilled Kurt the refinance was completed with satisfactory terms. Both Michael and Kurt are true assets to Rocket Mortgage!",5
Theresa,"Greensboro, GA","Reviewed Jan. 26, 2022",Everything was done in a professional manner. Everyone we worked with was very helpful. We would recommend Rocket to friends and relatives. They were efficient and timely with their part of the transaction. We enjoyed working with everyone. Thank you for all of your work on our behalf.,5
Harvey,"Holmdel, NJ","Reviewed Jan. 25, 2022","I have been financing with Rocket Mortgage for several years. They were Great to work with. At this time I refinanced 2 properties with Rocket. Once again Great to work with,. Eron ** was my Loan Officer. He was GREAT to work with, Thanks Rocket.",5
Sandy,"Purdon, TX","Reviewed Jan. 25, 2022","Chris ** was great. He told me we would close in 2 weeks, however it took until Jan 2022 to close. That put me under a lot of stress that I really wanted to avoid. It was not his fault. However, everyone was very nice and professional. Thank you Rocket Mortgage.",4
Alphonso,"Suitland, MD","Reviewed Jan. 24, 2022","They were fast, accurate, professional and the customer service is outstanding. Rocket mortgage made it possible for me to purchase a home when I didn't think it was possible. I will be recommending Rocket mortgage to all my friends relatives and anyone that's looking for a home. You guys are the best. Thank you.",5
Rafael,"Deland, FL","Reviewed Jan. 24, 2022",Working with Patricia was a amazing experience. She was always on constant contact with me unlike my previous experience with other companies. She was always upfront with me and and set up good and accurate expectations for the time frames that we were working with. Really good overall experience and will recommend 10 times out of 10.,5
Leo,"Clinton Twp, MI","Reviewed Jan. 21, 2022","The start was easy and fast but after that there was NO communication. We had called, texted and emailed questions and received no response. The closing was easy and quick. Amrock did answer some of the questions before our closing. We have family working for Rocket but we did not receive a discount nor did the employee receive anything for recommendation to Rocket. Everything is done by computer so I'm sure you could have rectified the problem.",4
