Author,Location,Date,Comment,Stars
Jon,"Kent, WA","Reviewed Jan. 13, 2022","Thank you Kristen ** for your professional, prompt and courteous expertise in my efforts to owning Silver and Gold. I will certainly recommend you as I'm aware of the public interest in owning precious metals as solid investments. I look forward to our next encounter. In all ways a pleasure. Sincerely Jon D. M.",5
Carolyn,"Cornelius, NC","Reviewed Jan. 12, 2022","From my initial call to The Patriot Gold Group, I received excellent customer service! William was very informative and answered all my questions. The information that was provided made me feel very comfortable and confident that I was in good hands. The entire transaction was so easy, and at no point I felt uneasy with the group. I would highly recommend The Patriot Gold Group!",5
Dwight,"Mesquite, NV","Reviewed Jan. 6, 2022",Ron & Frank are the best! All my questions get answered in a way that's easily understood. Every request gets taken care of immediately and professionally. My metals distributions always show up quickly. Really look forward to working with you in the years to come. Thanks!!!,5
Brian,"New Boston, NH","Reviewed Jan. 5, 2022",Things proceeded very quickly and smoothly. I have never done this before & was surprised at the speed things proceed at. I would suggest that a FAQ sheet is sent to any prospective investor including:,5
Edward,"Granite City, IL","Reviewed Jan. 3, 2022",My experience with Mike as my salesman with Patriot Gold was excellent. He was very professional and concerned about my investment as if it was his own. He helped me with the information I needed to know to make the best decision for my investment and the future. I was very satisfied with Mike and recommend him to all.,5
Daren,"Crescent Lake, OR","Reviewed Jan. 3, 2022",I am a newer customer and needed to complete a Required Minimum Withdraw. Mike with Patriot was fantastic in explaining the withdrawal process and completing the withdrawal. Gold was delivered without any problems. I would definitely recommend Mike and Patriot Gold. The process was very easy. Will recommend to friends and family.,5
Craig,"Riverview, FL","Reviewed Dec. 31, 2021",I had a very pleasant experience with all involved in setting up this rollover. The process went smoothly. The staff was very concise and very attentive to my needs. Thanks to all involved. I would highly recommend Patriot Gold. Hope the new year brings us all good health and prosperity.,5
Charles,"Rosemary Beach, FL","Reviewed Dec. 30, 2021",I had a great experience working with Liz and the team. Our company is very focused on the Experience for our clients which gives me good understanding of customer satisfaction truly is. This is what I experienced with your team.,5
Bruce,"Barrigada, Other","Reviewed Dec. 29, 2021",Patriot Gold executed my IRA transfer into gold and silver coins as promised. My representative Michael either answered my calls or returned them in short time. I will use their services again if the opportunity arises. Highly recommend Patriot Gold to anybody looking to protect their retirement against the Democrats' wild spending of unearned US dollars.,5
Carl,"Bremerton, WA","Reviewed Dec. 29, 2021","My Patriot Gold Group experience has been enhanced by the remarkable professionalism and expertise of two individuals, Ron ** and Frank **. I've been very pleased with their responsiveness and timely processing of my transaction. I would highly recommend the Patriot Gold Group as a most reputable and trustworthy enterprise with whom I have invested a portion of my IRA funds.",5
Rosemary,"Olathe, KS","Reviewed Dec. 21, 2021",Andy ** and John ** were both very helpful and timely in helping me transfer traditional IRA funds over and set up a silver IRA. Anytime I reached out they were quick to call or email back with detailed answers. This is a very busy time for all precious metals companies but Patriot Gold was the one who called back. I could tell I was a priority.,5
Kim,"Greenback, TN","Reviewed Dec. 9, 2021","Ron and Frank have been very easy to work with and did a great job giving me the information I needed. They provided great service, as well. They were very timely and thorough with my orders. (I order more than once). If you call them they call back very quickly. I would definitely order from them again. Thank you.",5
Nancy,"Centerech, NY","Reviewed Dec. 7, 2021","The Team at Patriot Gold are very personable and attentive. I always get an immediate response. They answer all my questions and extend their time even though their business is busy. They are top-notch dealers! I had vetted many companies, but none inspired trust like they did. They made it easy for me to transfer old 401k funds to a Rot IRA, Thank you Michael and Andy!",5
Robyn,"Jensen Beach, FL","Reviewed Dec. 7, 2021","This was my first time ever buying precious metals. Ron ** and Frank ** made my purchase effortless! I knew absolutely nothing about what to buy or how to buy it. They sent me so much literature to review that it really helped in making my decision. Then, I had to decide how many types to purchase... They spent so much time with me on the phone (I was very grateful). I decided on 3 types. Then, they shipped my product in no time at all, very discreetly. I would highly recommend Patriot Gold Group to first time investors!!",5
Wesley,"Alvin, TX","Reviewed Nov. 29, 2021",Received Very professional information on what to invest in for my retirement in. Have had constant communication to confirm my satisfaction. Heard of Patriot Gold recommendation from Bill O'Reilly and others on Fox News. These folks seem to have your best interest and have menu suggestions to present in your best interest. I will continue to purchase from Patriot Gold as finances become available. Highly recommend them if folks.,5
Cynthia,"Colorado Springs, CO","Reviewed Nov. 29, 2021",My experience with the Patriot Gold Group was outstanding! They were honest and treated me like family (good family) with respect! They were gracious and friendly and took my needs seriously. I was treated like I was a million dollar investor when all I had was my small savings. Recommend them very highly!,5
Thomas,"Fairfax Station, VA","Reviewed Nov. 20, 2021",Kristen has provided me exceptional service since beginning my investment journey with Patriot Gold Group. Her professionalism and attention to detail is noteworthy. Thanks again and I look forward to doing more business with you in the future.,5
Bradford,"San Diego, CA","Reviewed Nov. 12, 2021","My experience with Patriot Gold Group in general and John ** in particular was excellent! John was attentive, patient, and always helpful. John answered all of my questions thoroughly, responded to concerns quickly, and ensured I was well-informed throughout the entire process. I look forward to doing business with Patriot Gold Group again in the near future and beyond.",5
Linda,"El Cajon, CA","Reviewed Nov. 10, 2021","I initially started my Precious Metal IRA with another well known company. What I experienced with your competitor was horrific and shocking. Due to their lack of business integrity I quickly revoked them from my Equity account. That was when I had the distinct pleasure of talking to Kristen ** at Patriot Gold Group. I could immediately tell by talking to her that she was a person of integrity and high moral business ethics. Kristen patiently answered my many questions honestly, clearly and with total competence. There is no doubt in my mind that Kristen ** and Patriot Gold Group are the representative and company that I wanted to do long term business with. I am pleased with the price and with the way that the business transaction was handled. I would highly recommend doing business with Kristen and Patriot Gold Group.",5
Victor,"Sumter, SC","Reviewed Nov. 3, 2021",Wonderful experience during the rollover process. I was given great guidance every step of the way. You can always count on getting great advice when making contribution to your IRA. Greatly recommend Patriot Gold. They are not like other precious metals dealers. They truly care about your livelihood.,5
Ronald,"League City, TX","Reviewed Nov. 3, 2021","Knowledgeable, courteous, enjoyable experience. I will recommend the Patriot Gold Group to others who are interested in investing in gold or silver or who may need expert assistance. I plan to utilize Patriot Gold Group for investments which will be a hedge against market downturns.",5
Flora,"Woodinville, WA","Reviewed Nov. 2, 2021",I started working with Patriot Group since June. Michael is the agent I work with since the beginning. It was enjoyable to work with Michael **. He is always very pleasant to talk to and easy to work with. Michael earned my trust by being truthful and upright.,5
Pamela,"Martinez, GA","Reviewed Oct. 31, 2021","Kristen provided great customer service. She was very attentive and responsive. When I had an issue with one of my orders, she diligently provided the prompt response needed to resolve the issue. I would recommend Patriot Gold to any and all that want to add precious metals to their portfolio.",5
Lois,"Saint Cloud, FL","Reviewed Oct. 30, 2021",I received excellent support and service from a very professional and kind man named Luke. He helped me to put my pension money into an IRA account. He was very knowledgeable. He made me so glad that I chose Patriot Gold to handle my account.,5
Ron,"Phoenix, AZ","Reviewed Oct. 27, 2021","In everyone's life, it's important to save, and when possible to invest for an uncertain future. For most, investing is a scary tenuous, and yet important venture and the need for complete trust in their advisors is paramount. Jack and Patriot Gold Group have earned the trust of so many over the years and it's appreciated. Whether first time dealing with precious metals or a seasoned investor, I'm sure anyone would find knowledge, confidence, and transparency in the advice of this group. The professionalism and personality displayed make buying gold or silver openly easy when preparing for future security.",5
Craig,"Santa Cruz, NM","Reviewed Oct. 27, 2021",Fast and Friendly service. Customer service was very good and follow up has been most exceptional. I feel like I'm part of the friends and family plan. Very knowledgeable people working at the Patriot Gold Group. I'm glad I took my business there. Thanks.,5
Chrysanthy,"Reno, NV","Reviewed Oct. 27, 2021","Everyone that I have dealt with within the Patriot Gold family has been absolutely delightful from Liz, Charlie, and Kristen. The professionalism and knowledge that they possess made my experience enjoyable at every step of the way in the process. I look forward to many great years to come with Patriot Gold!",5
Barry,"Plymouth, MN","Reviewed Oct. 26, 2021","Informative and easy to work with. They coordinated the transfer of my wife's IRA. All we had to do was approve it. Everything happened in the timeline they projected. Most of all, the people I spoke with had a firm understanding of the metals investing market and could answer all my questions!",5
Teresa,"Fairfield Township, OH","Reviewed Oct. 21, 2021","Christen contacted me to make sure I was happy with my service with Patriot Gold Group and I was happy to let her know that I am very satisfied working with Andy. Everything appears that I am exactly where I need to be at this time. Thank you, Teresa",5
Pirkko,"Lantana, FL","Reviewed Oct. 21, 2021","With the run-around TDBank gave Luke M. And me, I was impressed with Luke’s infinite patience and professionalism, which eventually led to a successful transfer of funds, eventual-transfer-of-funds being the operative word. Something which should have been simply routine, indeed, became a confusing “keystone cops” hurly burly.  Thank you Luke M.",5
Billy,"Wallace, SC","Reviewed Oct. 20, 2021",I was very pleased with the help I received from everyone at Patriot Gold in helping me roll my 401K into an IRA. Everyone was eager to answer any questions I had and worked with both me and my wife in the process to get our account squared away.,5
Melissa,"Westboro, WI","Reviewed Oct. 18, 2021","I was extremely hesitant to rollover my retirement accounts as I have had some pretty lackluster experiences with financial companies that hold my retirement accounts. But Ron and Frank were exceptional and conversations with them made it feel like I was talking to an old friend. Any questions I had, they didn't hesitate to get right back to me, even if it was outside normal business hours. They were very knowledgeable and helped guide me through the process. I will not hesitate to work with this group again as everyone at Patriot Gold was great to work worth. This company surely knows what excellent customer relations/service looks like. If you are in the market to convert to precious metals, talk to these guys, You won't regret it!",5
Lois,"Ephrata, PA","Reviewed Oct. 13, 2021",Andy was very helpful in describing my options and helping me with the transaction. Kristin has been unusually pleasant and helpful with documentation. I just spoke with her again today and she has always been delightful. I would recommend this company to anyone interested in buying precious metals.,5
Kirill,"Acton, MA","Reviewed Oct. 13, 2021","When it comes to money management every nuance is important. My experience with the Patriot Gold Group has been flawless - highly competent professional team guided me all the way, providing detailed information within each step, for a robust transitioning of my old 401K to gold IRA, and investing into chosen by me assets. Truly outstanding experience, strongly recommend!",5
Robin & Jerry,"Palm Coast, FL","Reviewed Oct. 5, 2021","Mike **, Kristin **, & Kristen ** helped us so much on making up our mind if we wanted to do this move. Mike was the greatest on explaining and answering every question I had thrown at him. He explained in terms that we could understand. We are so happy we decided to go with Patriot Gold. We feel our IRA is safer now than it ever was. We appreciate everything they have done for us. Thank you.",5
Jay,"Stone Mountain, GA","Reviewed Oct. 5, 2021",This is my first time investing in gold and silver. I researched my investment groups and Patriot Gold got my attention. You have a long history of exceptional customer relations based on the many reviews I have read and you have a AAA rating with Consumer Affairs five year in a row. I could not have found a better place to protect my wealth than Patriot Gold.,5
James,"Parkville, MO","Reviewed Oct. 4, 2021",Had a very good experience working with Ron at Patriot Gold Group! I would recommend these guys to anyone. They were very timely and professional. They were always there for any questions that I had and did their best in a timely matter.,5
Jerry,"Olathe, KS","Reviewed Oct. 2, 2021","Really have been enjoying my experience working with Patriot - they have a real personal touch and care about their customers. Mike ** always takes the extra time to make everything crystal clear, Have recommended to several people and will continue to do so!",5
Diana,"Port Angeles, WA","Reviewed Oct. 1, 2021",My experience with Andy ** worked out great. He was helpful in choosing what coins I wanted and generous in the process. The only trouble was the transfer between my IRA account to the new Gold IRA. It was a communication problem with my previous custodian to the new one. All is well now and I am happy with the results.,5
Dennis,"La Palma, CA","Reviewed Sept. 30, 2021",Received great service from Patriot. Promises made were fulfilled. Follow up contact from Patriot was made to ensure I was happy with the transaction. I switched to Patriot after having horrific issues with another company who failed in every aspect of service to customer.,5
Craig,"Wake Forest, NC","Reviewed Sept. 30, 2021",Worked with John ** to execute my trade for Gold and Silver for my Solo 401K. Not all brokers have knowledge on how to properly execute this type of trade. Patriot Gold made it happen for me. It was a painless transaction. Thanks John and Patriot Gold.,5
Rick,"El Paso, TX","Reviewed Sept. 15, 2021",Working with Patriot Gold was a great experience. I appreciated their knowledge and the personalized service they provided. Would highly recommend Patriot Gold to anyone seeking solid expertise. I am planning to work with them again in the near future!!!,5
Cheryl,"Thompsons Station, TN","Reviewed Sept. 13, 2021",This process of transferring an IRA from an annuity to Gold IRA was professional and easy to make an IRA transfer transaction. Mike and Charlie were very helpful and informative about metal IRAs.. I have already recommended Patriot Gold to a friend. Cheryl,5
Janice,"Scottsdale, AZ","Reviewed Sept. 13, 2021","Patriot Gold Group has been wonderful. If I have a question, they always get back to me almost immediately. The Patriot Gold Group helped me get my money from a couple of IRAs that I had for many years. They did it right away and I was able to pick Gold and Silver and I was able to pick how much gold and silver that I wanted. I feel very safe with them and I would recommend them to anyone looking for a Gold and Silver IRA.",5
William,"Albany, NY","Reviewed Sept. 9, 2021",I had spoken to other companies. My decision to go with Patriot Gold group was from my experience with Ron **. It was like we're at a table talking even when we were hundreds of miles apart. The professional experience I received from him was 10 fold. I highly recommend. Give them a call they will not let you down.,5
Trent,"Ballston Spa, NY","Reviewed Aug. 31, 2021",Will ** was very informative and detailed in the process for our purchase. Every step was exactly as presented and he also took the time to reach out to us as our order was being prepared. We are very confident with Patriot Gold and will be using Will again in the future. We highly recommend them as the secure and customer focused group to make your precious metals purchase!,5
Martha,"Rockville, MD","Reviewed Aug. 30, 2021",Kristen was very helpful when I made my purchases. She was available for consultation via phone or would call me back if I left voice mail. She was able to give me general information regarding minted coins versus bullion. She kept me informed about my deliveries. I enjoyed working with Kristen and would recommend her and Patriot Gold to anyone wanting to buy precious metals.,5
William,"Augusta, GA","Reviewed Aug. 29, 2021",I had a great experience. Not a problem. Frank And Ron were pros to deal with. I like reading Ron's Emails. Whoever I get 1.. I'd recommend them to anyone who wants feel better about their future on their 401k.,5
Stephen,"Bunnlevel, NC","Reviewed Aug. 29, 2021","Was very happy with the ease and handling of my purchase! Very professional and personable people! Would highly recommend them for your purchase! This was my first purchase, and after talking with Liz, and Bo I knew that I had picked the right company! They were very knowledgeable and put me to ease! Shipping was done in a timely fashion and with a follow up phone call to make sure that everything was as advertised and that I was satisfied with my purchase! Five star service!!",5
Tracie,"Murphy, NC","Reviewed Aug. 27, 2021","Thank you, Liz L. for the wonderful, personal customer service and for answering all of my questions!! Purchasing precious metals from you was very easy and a nice experience. I will definitely recommend Patriot Gold to my friends and family!",5
Debbie,"Chesterfield, MO","Reviewed Aug. 27, 2021",Excellent customer service and follow through. Knowledgable about their products and how it safeguards one's investments during these turbulent world events. I feel more secure having procured tangible assets. Ron ** was very helpful in explaining the process and staying in touch.,5
Robert,"Anthem, AZ","Reviewed Aug. 26, 2021","I planned to have Gold Coins as part of my diversified portfolio and researched companies with a good reputation for implementing the purchase. Patriot Gold came highly reviewed and after contacting and discussing with their representative I placed an initial order to establish account and try Patriot. I was very pleased and placed a second order with specific guidelines on coin purchase and delivery timing, which was completed exactly as I had hoped. I feel confident in Patriot Gold giving good advice and fulfilling their promises!",5
Terry & Jim,"Eatonville, WA","Reviewed Aug. 26, 2021","We could not be happier with the service we received from Patriot Gold Group! We made a big mistake with one of the other gold companies, once they got our money, they sent us an email telling us it would be 12 years, I said 12 weeks before our gold would even be shipped. We were not happy at all; they were earning interest on our investment and we were at their mercy (or so we thought). Once we wrote a legal letter canceling our order, they did refund us in full but it took two weeks on top of the three weeks we had already waited.",5
Ginny,"Farmington, NY","Reviewed Aug. 20, 2021","This is my first experience with precious metals, and it has been great! Andy is the most patient and helpful guy. I have had many questions and concerns and he always take the time to help me understand and feel comfortable with my decisions. I would highly recommend Patriot Gold to anyone thinking about investing in precious metals. Be sure to ask for Andy.",5
Jay,"Dunwoody, GA","Reviewed Aug. 20, 2021","I just want to say what a pleasure it is to deal with Patriot and Liz **. To place an order- the decisions are mine and mine alone, but the life experiences of Liz in this area show her wisdom and acumen. In contrast, I got a call last night at 7:30 PM from a competing metals group who would not let me politely get off the phone. The competing group strongly pressured me to place an order recommending a specific $ amount to just get started with them- they not having a clue as to my personal finances. There is no pressure to order from Patriot and as a matter of fact I have called Liz more often resulting in no transaction than I have called with specific orders resulting in a transaction.. i eventually just hung up on the competing group.",5
Roger,"Saugerties, NY","Reviewed Aug. 19, 2021","Creating a precious metals IRA was a smooth and easy experience. Everyone I worked with was helpful, knowledgeable, and provided excellent assistance. I highly recommend Patriot Gold Group to anyone considering moving assets to precious metals. I plan on continuing and increasing my investment with them, as my finances allow.",5
Janet,"Douglassville, PA","Reviewed Aug. 17, 2021","I had an excellent experience working with both Liz ** and Boris **. They fully understood my needs and were very helpful in guiding me through the process. I highly recommend Patriot Gold and Silver. They are friendly, helpful, professional, and caring. I wish they lived closer. We would become good friends!!",5
Dan,"Washington, MO","Reviewed Aug. 17, 2021","After watching Dick Morris in a Patriot Gold ad on NewsMax, I called the number on the screen. Spoke with Ron **. He made me feel comfortable right off the bat. Explained how it works when buying Gold or Silver. Ron sent me some very informative emails and explained how the entire process works. Then he had me talk to Frank **, who got into the money transaction part of the deal. We settled on the amount of money for the amount of silver. Super nice guy! Next was transferring money from Ameritrade! I had trouble with filling out the form, the girl at Ameritrade was so patient. Then Ron stepped in for the rescue, and made it easy for us to complete the transaction. I received the silver even before the estimated time of delivery. Ron and Frank both were so awesome and professional. I would deal with them again anytime.",5
Ronald,"Leesburg, FL","Reviewed July 22, 2021",I was interested in an IRA rollover and found your company online. The service was timely and all the personal was beyond my expectations. I'm hoping the investment will be profitable and secure. I will be sure to recommend you to family and friends. Thanks,5
Deborah,"Star, ID","Reviewed July 13, 2021","Kristen was very informative. She helped me understand this process as it was our first time buying gold and silver. She also helped me get started on viewing my account online. We were given her direct line and she informed me to call with any questions, anytime.",5
Stacey,"Lapwai, ID","Reviewed July 13, 2021","The whole process seemed overwhelming, but the guys walked me through it step by step, and they didn't get annoyed with all of my questions. I had no idea there were so many gold and silver options to choose from, so I got an education in the process.",5
George,"Eldridge, IA","Reviewed July 12, 2021",My representative made it a very good experience while being informative and professional to my needs. I would recommend Patriot Gold to friends and family for their financial investment choices for their future. If you are looking for an IRA in precious metals look no further.,5
Carolyn,"Oberlin, KS","Reviewed July 9, 2021","Patriot Gold personnel were open with information and readily answered all of my questions. I had some delays from Wadell and Reed, and a bit of difficulty due to not having the ability to print out forms that needed signing. However both delays were dealt with effectively by Ron ** and Charlie **. I appreciated the conversations that I've had with both Ron and Charlie, and most recently with Kristen **. All three have shown care and concern for customer needs, satisfaction, and follow-up. I have recommended Patriot Gold to several friends as well as acquaintances and will continue to do so.",5
Christine,"Doylestown, PA","Reviewed July 7, 2021","Mike ** and his team were extremely helpful, knowledgeable, and efficient during the whole process. It was a pleasure from beginning to end. I have been recommending him to friends and hope they call soon! Thank you for everything. I won’t hesitate to call should I require anything further.",5
Amanda,"Greenfield, MA","Reviewed July 7, 2021","My experience with Patriot Gold was excellent from the very first phone call. During the process of setting up my account everyone was very helpful, knowledgeable and responsive. I appreciate the professional service they provide. I am very pleased that I chose Patriot Gold and look forward to working with them for many years to come!",5
Michael,"New Caney, TX","Reviewed June 30, 2021",I absolutely enjoyed my experience with Patriot Gold Group! I appreciate the commitment and excellent communication that John ** and Andy ** have given me getting set up! John has been absolutely outstanding with any other questions I had about my account! I have to say that my experience is by far the best I’ve ever had when dealing with investing my funds. I now look forward to speaking to the Group family members due to the friendliness and outstanding service provided every time I have a question. I had great experience in talking with Kristen ** making sure that my needs were meet getting my account settled and set up! Thank you so much for making me feel completely comfortable with my investment in Patriot Gold Group! Outstanding!!!,5
John,"Westwego, LA","Reviewed June 21, 2021","My dealing with Andy, Michael and Kristin were very professional, informative and friendly. Very happy with the service I've had from Patriot Gold. Had questions about how to access my account Online and they forwarded the info. Told me the prices of the coins as I went to buy them because some were a little more expensive than the others. So it went well. Thanks!",5
John,"League City, TX","Reviewed June 17, 2021",I just wanted to let you know that Ron and Frank were exceptional in handling my transition from Fiat to Silver back in March. I know that they will be a big help if needed in the future. Thanks again.,5
Jacqueline,"Carthage, MS","Reviewed June 16, 2021",I had a positive experience with Patriot Gold group. Ron was patient and attentive to our needs. Frank was easy to work with also. We did not feel rushed or pressured. They answered all our questions. They seemed interested in our best interests.,5
James,"Tehachapi, CA","Reviewed June 12, 2021",I was very happy with the service I got. The salesman was knew what I was expecting and got me what I hoped for. The delivery was prompt and secure. Overall I am very happy with your company. I will do business with you in the future.,5
Douglas,"Omaha, NE","Reviewed June 12, 2021",This being my 2nd transaction with PGG. I had some resistance with IRA company on the 2nd transfer. The PGG personnel helped me get through the unnecessary difficulties my prior IRA company gave me which I will never recommend to anyone. But I will strongly recommend Patriot Gold Group. They expedited the transfer after the delay I experienced. A Partner on My Side.,5
Cristina,"San Gabriel, CA","Reviewed June 12, 2021","I have never seen such a wonderful people. I feel as if I am part of the family. Ron, Frank and Charley are very accommodating. When I call them up, they answer me or call me back right away. I love Patriot Gold Group. Way to go Patriot ❤",5
Erin,"Stratford, CA","Reviewed June 11, 2021","I purchase gold coins, silver bars and gold bars. I was very unsure how the whole thing worked but Frank and Ron walked me through the whole process. I called one of your competitors first who were rated highly and nobody answered the phone. So you guys got the business because you understand how to make your customers happy. Thanks for your help.",5
Don,"Norman, OK","Reviewed June 11, 2021",Highly recommend Patriot Gold when considering professionals to purchase precious metals for your self directed IRA. They made me aware of tax advantages that I would never have considered when it comes time to withdraw your investment. They treat everyone as their most important customer.,5
Donna,"Edgewater, MD","Reviewed June 10, 2021","My experience with Patriot Gold was nothing but positive. My purchase was a rollover from a 401K and everyone I spoke with from Patriot Gold made me feel comfortable and confident. Everyone was pleasant and knowledgeable. Will ** was who spoke with most and who encouraged my questions. Andy ** was as patient as I needed him to be and Kristen ** followed up about a month later and couldn't have been more kind, reassuring and knowledgeable as well. Thanks to all for your support, kindness and knowledge. I shall confidently refer you to others.",5
David,"Waddell, AZ","Reviewed June 9, 2021","Great experience. They were very good in explaining all of my options & what would be the best direction, based on my needs. They are a very professional group to deal with. I would recommend them to anyone wanting to purchase gold or silver.",5
Bruce,"Okeechobee, FL","Reviewed May 25, 2021",I am very satisfied with my order. Andy ** laid the procedure out for me and all went exactly as described. Andy was professional and courteous in all communication. I have already recommended Patriot Gold Group to a friend. Thank you for your fine service.,5
Brenda,"Chester, NJ","Reviewed May 25, 2021","We had accidentally overfunded our ROTH IRA, and Kristen made sure our error was corrected in time for tax filing. She stayed on top of the situation and made it happen. As a result we were able to avoid a tax penalty! Thank you for exceeding our expectations!",5
Evangeline,"West Palm Beach, FL","Reviewed May 20, 2021",This was a professional process with very knowledgeable staff. Having not done this before so they made it easy and explained the process completely. The transaction closed and I’m happy with Patriot. I plan To buy more metals in the future with them. I can highly recommend their services to anyone wishing to add and expand to their portfolio.,5
Daniel,"Damascus, MD","Reviewed May 19, 2021",I contacted Patriot Gold to roll over my 401k into a precious metals IRA. The manner in which I was received and treated was far beyond what I had expected. Ron ** helped through every phase of the transaction and answered all my questions as well as my wife’s. I can’t say enough about how they made me feel secure in the purchase or that they are here not only for the initial purchase but throughout the all aspects from start to finish. I recommend Patriot Gold and have told several people about how smooth the transaction was. Look forward to a long relationship with them and future purchases. Dan,5
Daniela,"Burbank, CA","Reviewed May 15, 2021","Moving my IRA from stocks to gold was easy and simple. Minimum paperwork, great customer service and reputable company. You can’t go wrong. Due to the economic environment gold is a safe haven but doing the transaction with the right company is as important.",5
Robert,"Wabash, IN","Reviewed May 15, 2021",Mike ** was very thorough in his information and recommendations. Every detail in the transaction was processed quickly and accurately. It was a pleasure doing business with Patriot Gold Group. I would not hesitate to call Mike again to do future purchases or sales.,5
Richard,"Watford City, ND","Reviewed May 14, 2021","I was interested in purchasing gold and silver and found that Patriot Gold Group is a trusted company by many people. This was my first time in purchasing gold and silver and was nervous at first but the salesman was very informative and polite making my purchase a pleasant and comfortable experience. I received my order in a plain package well within the time slot mentioned, and yes I am in the process of my second order because I have developed trust in their system and people - and yes I do recommend them highly!",5
Fred,"Lords Valley, PA","Reviewed May 12, 2021","We just completed our third purchase from Patriot Gold Group and, as with the first two, all went well. Called Jack late in the afternoon, told him our plan, asked a few questions, got good answers, and set the purchase in motion. Next, asked our Bank to transfer funds from our account to PGG. Real easy. Jack called us the next day and we completed the purchase. All Statements etc. were e-mailed to us. Five Stars for PGG.",5
William,"Bullhead City, AZ","Reviewed May 12, 2021","Needing a safe place to hold a portion of my investments, in what seems like very unstable times, I suppose the ancient saying just struck true, 'Gold is the money of kings, silver the money of gentlemen...' and there has always been a reason for that... I may not be a king. But I certainly desired the same comfort that some of my savings would retain its value, so I chose PGG to place it in gold and silver and keep it safe from the vulnerability of the market. I'm glad I did, it was quick and efficient.",5
Alejandro,"Middle Village, NY","Reviewed May 12, 2021","The customer service at Patriot Gold is second to none. My transaction was completed rather quickly and with no issues, my account rep was very cordial and knowledgeable, he was able to process my rollover in a timely fashion. Thank you Patriot Gold.",5
Randy,"Lancaster, PA","Reviewed May 11, 2021","Matt was very helpful and responsive on the phone. He explained how the process of opening a gold IRA works and gave various options. I did not feel any pressure to buy, and he answered my questions without making me feel foolish.",5
Amy,"Berlin, CT","Reviewed May 11, 2021","A much easier and streamlined experience than we thought it would be. I am so glad we went with this group- they were very knowledgable, friendly and most importantly not pushy (many financial groups can be). My husband (who is skeptical of everything) ended up investing more than we had planned, because we were so impressed. Considering how chaotic the country is right now, and how unstable the stock market is, investing in Gold/Silver was a smart choice- Patriot Gold was the easiest and most trustworthy path forward for us. We highly recommend them!",5
Barbara,"Uniontown, OH","Reviewed April 29, 2021","We have worked with Patriot Gold several different occasions and they have been nothing but professional and knowledgeable. They have a sensible approach to business which is fair for the customer and their business. We hope they stick around for a long time, it is not a typical internet business. They are real good people.",5
Denise,"Glendale, CA","Reviewed April 29, 2021",My decision to choose Patriot Gold over all the other Gold & Silver IRA Investment choices was immediately a given from the first person I spoke to! First Frank ** explained all the basics and made me feel that I had chosen the best option for protecting my stock market IRA by transferring to Gold & Silver IRA investments. Everyone else at Patriot Gold that assisted me through the entire experience/process was a pleasure to work with and answered any of my questions above and beyond my expectations. ,5
Shelley,"Las Vegas, NV","Reviewed April 29, 2021","I researched extensively prior to my 1st purchase of gold & silver coins. I was fortunate to have Liz ** answer my call, as her expertise is lengthy. She's professional, friendly, patient & always available to assist with questions. I'm hooked! I have & will continue to recommend Patriot Gold to all, the #1 company for investing in precious metals.",5
Anita,"Show Low, AZ","Reviewed April 28, 2021","Staff was knowledgeable, always timely in their communication with me, and made me feel my money was being cared for professionally. I felt I was given sound advice about how to distribute my money into precious metals. I would recommend Patriot Gold services.",5
Mark,"Wichita, KS","Reviewed April 28, 2021",Had nothing but real help from Ron and Frank. Impressed that they spent as much time explaining how it works with me on a roll over. They were very helpful in setting me up. I told all my friends how they treated me.,5
Michael,"Thornton, CO","Reviewed April 28, 2021",Andy ** was very knowledgeable and helpful which made it easy to work with him. There was no high pressure to do my IRA with Patriot Gold which would have made me do business with another company. Thanks for all that you do.,5
Debbie,"Anaheim, CA","Reviewed April 28, 2021","I was greatly surprised at the excellent customer service I received from Frank **, after I sent him an email on a Saturday with my concerns about the delay in waiting to receive my first quarterly statement through my online account at Equity Int'l. Much to my surprise Frank immediately returned my call on Saturday, and assured me the problem could be quickly resolved and he would contact his connection at Equity Int'l to inquire about my account and missing statement. He also provided me with the same contact person at Equity who I could also contact on Monday. However, before I was able to contact anyone at Equity Int'l on Monday, Frank had already had the issue resolved and my statement was now available and posted on my account! Thank you for fast response and outstanding service!",5
John,"Boerne, TX","Reviewed April 28, 2021",Easy and quick response if have issues or questions. Can access account with confidential information any day. Would like to have quarterly updates sent in case there are issues that need my attention. Buyers are always hard at work and suggesting next moves.,5
Laurie,"La Feria, TX","Reviewed April 27, 2021",I have had a great experience working with Kristen at Patriot Gold Group. She is always quick to respond and I appreciate her broad knowledge of the gold and silver markets. Very happy overall with the professionalism and integration with my self directed IRA trust company.,5
Derek,"Waxhaw, NC","Reviewed April 27, 2021","Service was good; I was contacted by a sales associate quickly and he walked me through buying options professionally and order was filled quickly...mark up over spot price was a bit more than competition, but free 1% in gold evened it out.",5
Lydia,"Kerrville, TX","Reviewed April 27, 2021","Patriot Gold telephone personnel were very friendly, helpful, and accommodating. The transaction was fast and easily accessible to verify. I've used Patriot Gold three times and have been satisfied every time with the help and advice. I absolutely use Patriot Gold again for future transactions.",5
