Author,Location,Date,Comments,Reviews
R.,"Nv, NV","Reviewed March 19, 2021",The staff was prompt to reply whenever we had an inquiry on anything during the loan process. They were always very professional and courteous. The best part was they always gave us the right answer.,5
Andrew,"Chattanooga, TN","Reviewed March 18, 2021","I was pleased with the rates which made me move forward. It was better than I could find elsewhere. The underwriting process took a little bit longer because of things on my end but once my delays were over, it was like a week or two. The broker was top-notch. It’s not the first time I've worked with them, it’s the third time because they're so good.",5
Mandy,"Union City, CA","Reviewed March 18, 2021","Sentina, the rep who was helping us, was very professional and responsive. Whenever I have a question, she would get back to me within 30 minutes to an hour. She's really impressive with this kind of service she provides. The application and underwriting process was within a reasonable time. Last time when I had a refinancing the application showed different information from the things I talked about. This time, everything was accurate.",5
Solmaria,"Miami, FL","Reviewed March 17, 2021","Mae was efficient in getting the process of refinancing moving quickly as well as courteous and professional. I am pretty satisfy with the service and Mae's guidance, from the beginning of the refinancing till the very final touches of the closing.",5
Perry,"Acworth, GA","Reviewed March 17, 2021","It’s the second time I refinanced with Amerisave and everything's great. The rep, Jeff, was very attentive. I'm very satisfied all around. I’d recommend them any time to everybody.",5
Hasan,"Hamilton Township, NJ","Reviewed March 17, 2021","AmeriSave handled my application very well. The rep I worked with, Scott, was responsive and tried his best to lower the close cost as much as he could. He also gave me very detailed information about the mortgage. He was very cooperative with me. I've recommended a friend to AmeriSave and told him that they gave me a good price and good information.",5
Aaron,"Tucson, AZ","Reviewed March 16, 2021","I refinanced my mortgage with Amerisave at the end of 2020. The application process was easy, and they responded to my online request the same day. My mortgage mortgage consultant was knowledgeable and helpful when helping me select the rate and term that was right for my situation. I’m now saving money each month with a much lower rate than I had before.",5
Brian,"Minneapolis, MN","Reviewed March 16, 2021","It was the best rate I found! The communication was excellent, and Mae was very responsive when I had questions. There was a little confusion with the closing data but we got them figured out. All in all, I would recommend using them.",5
Monte,"Overland Park, KS","Reviewed March 16, 2021","Although the refinance went great, the title company will not send the overpayment we made at closing. They will not even call us back so far. It has been 1 1/2 months since closing and no payment has been received.",3
Michael,"Mobile, AL","Reviewed March 16, 2021","I went through all of the providers and started looking. I saw some commercials on some rates AmeriSave was offering, so I decided to call them. Applying was very straightforward and the guy that helped me made everything effortless. He did a good job. The rates and terms were also very competitive with what everybody else was offering, so they were right in line.",5
Christopher,"Chesapeake, VA","Reviewed March 16, 2021","The rep was an angel. She was top-notch and went way beyond just anything. She told me that the process was going to take longer than I thought it would. She said up to three months on just refinancing, but it was less than a month. That was very fast. The accuracy on that was not right, but I don't know if it's standard that they tell customers the worst and think for the best. Still, we're happy about her.",5
Harry,"Kingman, AZ","Reviewed March 15, 2021","Once I put my information online, a bunch of different names popped up and people started calling me. I listened to the first one and the second one. AmeriSave was the second one that called me. Ruben, the person I dealt with, was much better to talk to and relaxed, so we decided to go with AmeriSave. Ruben talked to me and my wife and we both felt very comfortable with him. He seemed to be well-informed of everything and it was easy to work with him when he guided us through what we had to do online and through the phone. It was easy to do and I was happy with where it went. The other people we worked with, too, was good.",5
Linda,"Paris, TX","Reviewed March 15, 2021","Josh told me from the beginning that I would not have any trouble because I had such a great credit score. But then, it seemed like I had problem after problem. They wanted a survey and an appraisal and they didn’t communicate with me. I had to do all that, other than the appraisal, for which they sent a guy out here. Also, I couldn't get answers to my questions. I couldn't get Josh and his supervisor to answer me. Then, I called AmeriSave and I didn't know there was one here in Texas. I had been working with the office out of Georgia. But the rep in Texas answered the question real quick for me.",4
Brandi,"Chandler, AZ","Reviewed March 14, 2021","We had a great experience and everything was handled with great care and concern. I was a major pain too, I had a TON of questions and concerns. All my questions were answered and I never felt like I was being ignored. Great job and will definitely use AmeriSave again.",5
Joe,"Petal, MS","Reviewed March 14, 2021","I have applied for and gotten numerous home loans in my life but my last one I will ever make with Amerisave is by far the easiest process I have experienced. From application to close it was an easy and enjoyable experience. Our loan originator, Himmat **, made the entire experience so easy. Rates are great, closing cost reasonable, and the closing agent came to us. Can’t get any more convenient than that.",5
Edward,"Sun City, AZ","Reviewed March 14, 2021","The process took 30 days and the rates are very good. All the people, like Dell, from the beginning to end, were very open and honest. I would do business with them again.",5
Dorothy,"Salem, NH","Reviewed March 14, 2021","The process of working with them was great. The gentleman that I worked with was very responsive and awesome. Their application was simple too. It took a total of six weeks. I had to remove somebody from a deed. From my end, more work had to be done. But I would use AmeriSave again and their rates were good too.",5
David,"Santa Maria, CA","Reviewed March 13, 2021","Just recently closed my loan for a refinance with AmeriSave. I have to say that it was the Best and easiest refinance I have ever done. The staff was very knowledgeable, professional and very patient with me and my questions. I would highly recommend them to anyone.",5
Douglas,"West Palm Beach, FL","Reviewed March 13, 2021","I can't say enough on the great experience we had. From beginning to end we had support and a very quick response to our concerns. We were very pleased and have recommended AmeriSave and our broker, Josh to many. Thank you,",5
Alireza,"Rancho Mission Viejo, CA","Reviewed March 13, 2021","Especial thanks to Thomas ** at the beginning then Nikki ** as well as Veronica **. All three were professional, courteous, provide solutions, helpful, make the process smooth and easy, and between couple of financing I had this one is the best experience I had, thanks everyone. Thanks AmeriSave.",5
Elanna,"Calumet City, IL","Reviewed March 13, 2021","We got a loan officer who explains the entire process from the beginning to the end, he told us we may have to resend documents because of the automated system so we knew what to expect. He took us from 16 years left to 10 years left, and our mortgage went down $50. Jerry ** made the process very simple!!!!",5
Donald,"Klamath Falls, OR","Reviewed March 13, 2021","Ruben spent plenty of time with us going through the process and filling out our information and we're very happy. The whole process took a month. It took two weeks to get the underwriting completed, so it's longer than we thought, but that's to be expected. There was a lot of financing going on at that time.",5
Henry,"Aliso Viejo, CA","Reviewed March 13, 2021","The process went well, the rates were good and the way I was handled was positive. The main person that helped me out, David, was awesome. He made things go smooth and made me feel comfortable. Further on in the process, Marsha helped me out. But I didn't feel she was kind of tuned in to my situation. She always seemed to be kind of a day behind. However, it seems to me that there could be some sort of a recap that could be bullet points listed for somebody that gets their loan approved about what's upcoming. That way, I didn't have to always reach back to David and ask those questions. Maybe it would have relieved a lot of pressure on him.",5
A. D.,"Baltimore, MD","Reviewed March 12, 2021","I had an excellent experience. The team was helpful, courteous, and knowledgeable. If I had any issues I could always go to my initial contact Luis and he would make sure that the different processors received the information requested. At the peak Holiday season and busy refinancing time, the whole process was completed in a little over 6 weeks. The rate, terms, and service were excellent. ADJ",5
Ralph,"Reno, NV","Reviewed March 12, 2021","Ross ** did an outstanding job, always answered questions and returned phone calls in a timely manner. He is an asset to the Company. He sent out information on the website and was available and assisted with the folks in Atlanta, which could use the help. You need to hire more people to service applications.",5
Lisa,"Yucaipa, CA","Reviewed March 12, 2021",Without a doubt the easiest refinance we have done to date. Our contact Brielle was on top of everything and was always available for any concerns. We would definitely go back to AmeriSave and will continue to recommend to friends and family.,5
Dalene,"Midlothian, TX","Reviewed March 12, 2021",It was easy to work with the team. Alex was awesome to work with. They kept me informed and if I had questions they got back to me very quickly. I would go back through them if needed to and would recommend them.,5
JP,"Gainesville, VA","Reviewed March 12, 2021","Terrible experience! Loan was never locked and lost a significant amount of money. We were told that the ""higher ups"" made the decision not to lock the loan. Inconsistent in follow up and response. The loan amount was wrong at closing despite being told it was corrected. We had to do most of the leg work in getting our own payoff. Internal communication within Amerisave is lacking and the Title company said Amerisave did not get them the correct information to fund the loan on time.",1
Alleah,"Princeton, MA","Reviewed March 12, 2021","I waited a month after closing to write this just to make sure nothing weird or annoying happened after closing...You never know with online companies, but they had good reviews so I went for it. I think we ended up with a wonderful rate. Both of us are self employed so there was a lot of paperwork, but the process still only took 2 months. We got 2.5% rate and got cash out for a project. Leah, our advisor was wonderful. Sure, sometimes they took forever in getting back to emails. Sure, it was confusing sometimes. But I think you get that anywhere. Overall I'd work with them again and recommend them.",5
Brett,"Hampstead, NC","Reviewed March 12, 2021","There are a lot of options and numbers when considering a refi, especially when folding in a home equity loan. Tyler took as much time as I needed and walked me through every step. Exceptional customer service! Among the best I’ve ever had. He is a true asset to your team!",4
Hal,"Philadelpjia, PA","Reviewed March 12, 2021","Answer reluctantly opening a link on Facebook Charles by at least 500 phone calls most of them from another company, I hooked up with an agent who I thought was very competent, very personable and very helpful. Having been in the Real Estate Field myself years ago I recognized it immediately. I just stayed with her. She guided me through every step of the process despite all types of communication problems due to the present work environment with everyone working at home, and the ensuing miscommunication between departments etc. etc.",5
Steven,"Smyrna, GA","Reviewed March 12, 2021","Timely communication and easy to navigate website all led to a closing in less than 30 days. I was able to get a great rate at reasonable fees, all delivered as promised. No bait and switch, no hidden fees, the entire process was transparent.",5
Patricia,"Canton, GA","Reviewed March 12, 2021","We were extremely lucky to be working with Wesley for this re-fi. Just can't say enough good thing about his professionalism, patience, and guidance to get this done so quickly for us. A real pleasure. I have and will continue to recommend him and AmeriSave",5
Dan,"Colchester, VT","Reviewed March 12, 2021","I looked into AmeriSave and looked at the Better Business Bureau and did some due diligence on the company itself and saw very positive reviews. I decided to get more information and the process was very simple. Adam, who we worked with, was great. He answered all of my questions immediately and helped us through the entire process. ",5
Narasimha Rao,"Cumming, GA","Reviewed March 12, 2021","My neighbor has done a transaction with Amerisave and what I heard was that they were giving the best competitive mortgage rates as well as they were easy to work with. I called them and it has been the same good experience for me. I did have questions and I was in touch daily with Michael. We had phone calls and email exchanges, and everything was smooth. He was always available and prompt. There was a detailed process through which I was guided step by step. However, there is an application fee of $500 and they could probably do something around it.",5
Sam,"Monmouth Junction, NJ","Reviewed March 11, 2021","Amerisave mortgage rep. William called me and offered me to refinance my property in November. Based on the rates and fees quoted, I started the application on December 10. I was told that Amerisave don't lock the rates but I am guaranteed to get the rates in the initial disclosure, if the rates move up. I asked to lock the rates multiple times. But they refused to do so. As of March 11, after three months, my loan is still in approved (after underwriting) status, waiting to be closed. Amerisave now says they need Senior manager's approval to honor the initial rates, since the rates have gone up. The loan has been on waiting mode for some time.",1
Joseph,"Dothan, AL","Reviewed March 11, 2021","When David, the rep, called me, I liked him. I chose AmeriSave because of him. He didn't answer my questions with a double question or a double answer or a double standard. He was straight up with me and answered me exactly the way I wanted and when I wanted. He answered the phone any time I called, no matter what time of the night. The rate was competitive and the application and underwriting process didn’t take long at all.",5
Juan,"Charlotte, NC","Reviewed March 11, 2021","I just lost my money and time, I paid $500 for the mortgage origination fees and the process was so slow, I wait 3 months and nothing happened, They asked me for documents that they suppose to obtain like pay off from the current lender. Amerisave never lock the rate, I may change as getting close to the closing date. Another bad thing was a $4000 cash-to-close increase from my original Loan estimate, I noticed this on the Disclosure documents. I changed to another lender and the closing cost was super easy, it was completed in just 3 weeks with a better rate, I suggest looking for other options before applying with this lender (Amerisave).",1
Thomas,"Canton, GA","Reviewed March 11, 2021","What I was impressed with is that Charles was an excellent mortgage guy. I'd highly recommend him. He did a wonderful job. He made the process seamless and answered any questions I had. He was very helpful. That was one of the main reasons that sold me. I refinanced several years ago with Quicken Loans and they irritated me. They kind of came back to me like I was an idiot for not taking their offer. I like good customer service. If customer service is not there, you won't get my business long. Charles treated me like a customer and that's the way it should be. A lot of likened institutions act like they're doing you a favor by giving you a loan but I don't take too kindly to that because you're paying dearly for it. So far, it's been seamless with Amerisave. The rates were very competitive. I've already got all the information, I've got my payment schedule set up on AutoPay, and I'm good to go now. If somebody asked me personally, I'd recommend them.",5
Robert,"Beaverton, OR","Reviewed March 11, 2021","I started out with some comparisons on the interest rates and the fees were higher. The first time I asked without any cash back, AmeriSave was gonna give me $2,000 but I needed cash back so that changed it. The rate was very reasonable compared to a local bank. AmeriSave was number two on the list and number two always tries harder, which was why I chose to go with them. Everything was very smooth, easy and transparent. There were a few hiccups which were because of trust but all in all, everything was very good. They were able to resolve the issue very quickly and easily. Ashley, the rep, was phenomenal and very responsive.",5
James,"Gibsonia, PA","Reviewed March 10, 2021","The closing costs were much lower. My only criticism is I also dealt with a third party person that was local also. The guy that I dealt with said that she didn't have the same software to be able to access the paperwork. I found myself duplicating some of the paperwork that I had already sent. I had to attach it to an email to send to that person. That was a little frustrating. Other than that, I was surprised on how easy AmeriSave's online application process was.",5
Kripanand,"Farmington, MN","Reviewed March 10, 2021","The rep was a little difficult getting called back but overall, Amerisave did a great job. They're easy to do business with and the process was fairly quick. I shopped around quite a bit and they beat everyone else as far as rates and the cost of the mortgage are concerned.",5
David,"Montgomery, AL","Reviewed March 10, 2021","I had an FHA so I wanted the conventional loan. AmeriSave got me what I wanted, which was why I went with them. Once I started the process, it didn’t happen overnight but they didn't give up. William, the rep, kept in touch. AmeriSave was a good company and I had a good experience.",5
Jeanette,"Anaheim, CA","Reviewed March 9, 2021","AmeriSave was one of those that popped up when I was doing the mortgage calculator thing. I applied and that was easy. Our contact was Curtis and he was very nice. I just answered his questions then I uploaded some documents. That was very simple. The frustrating thing was something that was supposed to take 30 days took three months. There was no problems with us. The people that were doing the underwriting were having problems. They kept asking for the documents and wanting to know the payoff for something I wasn't getting the loan for. It was just weird. Curtis had to do a lot of apologizing for the underwriters and everything else. On the whole, I wouldn't recommend AmeriSave. Try somebody else.",1
Xuan,"Provo, UT","Reviewed March 9, 2021","Amerisave was very clear in what they offered me. They were very fast and straightforward. In the beginning, I needed some time to get used to it but it was flawless. There was no pushing. I had a better offer from another company but they pushed me a lot to do this and that. I had applied for several refinancing and that company asked me to cancel with everyone else. That was what I didn't want to do.",5
Elizabeth,"Denver, CO","Reviewed March 9, 2021","I looked up AmeriSave on the computer and I was pleased. I dealt with Jessica and she was wonderful. She helped me along the way and her kindness, understanding and efficiency were well appreciated. Once I figured out how to sign stuff and get it to her, it was simple. She was very patient since I’m supposedly a senior citizen and when you don't understand the computer, it was reassuring that she would help you through it. AmeriSave was very efficient and good.",5
Michelle,"Fredericksburg, VA","Reviewed March 8, 2021","AmeriSave had a really good interest rate so I was able to refinance from a 3.5 to a 2.5 for 15 years as opposed to 30 years. Everything went really well. I dealt with Sarah and she was absolutely amazing. I ask a lot of questions and I can probably be quite a pain sometimes, but she was always really good about getting back to me and answering all my questions. ",5
James,"Tacoma, WA","Reviewed March 8, 2021",It was a good experience. I wasn't expecting it to go so easy. I wish I would have done a little more homework going into it but they did a really good job.,5
Sandra,"Sicklerville, NJ","Reviewed March 8, 2021","Everything was great with AmeriSave. The process went smoothly especially with Michael, the rep, and his assistant. Everything that I sent was easily handled through them. Also, I could do everything online. When I went to the website, whatever I had to sign off was available. The only thing that held up everything was the weather because I settled on the 16th and I didn't get the money until two weeks later. So, all of my debt is clearing now. If it weren't for the storm, it was perfect. I was in so much debt and this has helped me. It has changed my life and made it so much easier.",5
Laurence,"Waxhaw, NC","Reviewed March 7, 2021",I went to AmeriSave because they do a cash-out refi with no extra fees and it was relatively easy. The overall process was pretty smooth. The ease of uploading documents was relatively simple. I worked with two people and they were both excellent.,5
Zandrell,"Chicago, IL","Reviewed March 7, 2021",The application process was fairly easy. I only dealt with one rep and he was a good guy. He was on top of his stuff.,4
Yadira,"Ormond Beach, FL","Reviewed March 7, 2021",AmeriSave provided the best rate for the refinance of my mortgage and the process of getting it was fairly smooth. Everybody provided good support and was very knowledgeable in their areas.,5
Ioannis,"Durham, NC","Reviewed March 6, 2021","Working with Bradley ** has been such a GREAT experience! He diligently answered all my questions in a timely manner, showed empathy on the divorce I was going through and we managed to close on a quite complicated situation with multiple moving parts in a timely manner. I am so happy to have refinanced with Amerisave!",5
Paulo,"Parker, CO","Reviewed March 6, 2021","I did some research online and AmeriSave seemed to have good rates. I worked with them to refinance my investment property and my primary. The application and underwriting took over two months. I expected it to take less time. They said that it took a little longer than expected because they needed some documentation from our association in our investment property. Our primary moved a little faster because we started later and finished first. Ernest was our rep and he was good. He was always returning my calls. He always talked to me when needed and when I had questions. I need him now. I have a question. Now that everything is finalized, AmeriSave is not getting back to me anymore. ",4
Sean,"Spokane Valley, WA","Reviewed March 6, 2021","My rep was great. He helped me to get a lower rate than what I anticipated. I'm happy about it. I don't know anybody that has as low rate as I got so I always tell my coworkers how good a rate it was. It was a super easy process and it went real good. It was all done with eSign and online. Even when I had to sign the documents, the gentleman came to my house which was convenient. Every time in the past, I've always had to go to an actual title building.",5
Patrick,"Carlsbad, CA","Reviewed March 6, 2021","I went online looking for lenders to refi and AmeriSave was the best interest rate I could find. The application process was all good. Haley, the rep who helped me out, was responsive and had good communication. I changed my mind four times and she was helpful on figuring out what we wanted to do and what worked best. AmeriSave worked out well.",5
Ricardo,"Miami, FL","Reviewed March 5, 2021","AmeriSave was a referral. I reached out to them among others, and they gave me the best deal. Salvador was my rep. He was knowledgeable and he gave me a good treatment. Any emails or questions I sent, they were very responsive. Also, they were easy to deal with and attentive. I didn't get much response from there as far as explaining the whole closing costs. Like the day before closing, going over what I’m signing. Things do change, and the process with them. That was more of the process with the loan processor. Otherwise, I had a great experience. I would recommend AmeriSave to anyone else.",5
Benly,"Wayne, NJ","Reviewed March 5, 2021",One of the things that stood out with Amerisave was the quality of service when I talked to the person that was working with me. He was quite responsive to all my queries. There were times when he did not have an answer and he would let me know that he would come back on it. He was good at keeping in touch on the emails. I would love to have him again if I get another chance. Another thing is that there was a clear communication during the process around all the questions that I raised regarding the interest rates and making sure that the numbers are correct even before the whole process was put in for closing purposes. ,5
Edwin,"Peoria, AZ","Reviewed March 5, 2021","The timespan was one thing that was astounding to us. We started in December and the refinance was taken care of by the 1st of February, which is good for us. AmeriSave followed through with everything they said they were going to do. We were very happy with dealing with the rep, Lynn. She answered all of our questions. We worked with the title company that works with AmeriSave and they would call us and I would call them back. I would miss the call by five minutes and they would never return my phone call. So, I would have to call Lynn and Lynn would get a hold of them, and then, they would call me back, which was not right. But AmeriSave did a great job.",5
Carmen,"Murfreesboro, TN","Reviewed March 4, 2021",I came to AmeriSave as a result of trying for nine months to refinance with my existing loan company. AmeriSave did a great job of taking me away from them and saving me a lot of money. I had a great experience with the whole thing. It was very easy. The guy that helped me was super helpful and very efficient. Everybody did what they were supposed to do in a timely manner.,5
Michael,"Mechanicsburg, PA","Reviewed March 4, 2021","I'm a very difficult consumer to capture and I would compare the offers very carefully. AmeriSave had the best deal and the mortgage officer, Josh, went out of his way to make sure it was the best deal possible. He was super simple to work with. We went over the options as far as buying it down and the cost I was gonna incur from buying it down versus getting the better rate. We tweaked it out. I'm kind of high maintenance sometimes and he was good about it. He went out of the way to make sure he did it right so I was pretty impressed with that. He was on top of everything. He and I were both making sure that as soon as something was needed, I got it. He was good at communicating with me.",5
Richard,"Schwenksville, PA","Reviewed March 4, 2021","I had a mortgage broker who had previously done a refi for me and I reached out to him. From speaking to him, I was a little concerned about having to pay certain closing costs. So, I did a little internet research and AmeriSave was at the top of the list. I just started the process online and I couldn't have been happier with the ultimate result. Everything was seamless and Rebecca, the rep, was excellent. She was very knowledgeable and was always there to answer questions and stayed on top of things. She was great from start to finish.",5
Jessica,"Fair Oaks, CA","Reviewed March 3, 2021","I loved my AmeriSave mortgage broker. He was easy to deal with and responsive. When I talked to him on the phone, he was very professional and he took his time. He wasn't trying to get me off the phone, which seems a lot of them are just trying to run your credit. He did all of it before, so it was really nice. He did a good job. It took less than 30 days. It was quick.",5
Russell,"Hanover, MD","Reviewed March 3, 2021","Amerisave had the lowest rate and the fastest response time. It was a week from the time I accepted to sign the final papers and everything was official. The application only took me about 10 minutes and the underwriting took less than a week even though I was shopping around for other companies. The rep did his job. I liked how fast he responded. I did accept the offer late on a Monday night and he called me and said, “All right, let’s do it.” They answered every question I had.",5
Robin,"Loganville, GA","Reviewed March 3, 2021","I tried to get my mortgage rate lowered and everything went smoothly with AmeriSave. Lee, the rep, was awesome. He said that he was gonna make me and my daughter happy and he did. We wanted to get a 15-year rate and they kept telling us we couldn’t do it. But we've been paying the same thing that we were gonna pay, and they got it existing. So, we’re very excited.",5
Adam,"Trenton, IL","Reviewed March 2, 2021","The rep is quick to reply. Any questions I had, he answered them. I went from a 30-year loan to a 15-year loan, and AmeriSave didn't even change my payment.",5
S.,"Ca, CA","Reviewed March 2, 2021",Amerisave is a company I would use again or look into. They had the lowest interest rate and I'm happy with them. The rep was excellent too.,5
Shady,"Big Bear City, CA","Reviewed March 2, 2021",I just wanted a better interest rate and AmeriSave answered the phone the quickest. The online application process was fairly easy. The rate and the terms I received were what I wanted.,4
Stephanie,"Allentown, PA","Reviewed March 1, 2021",I considered refinancing but was skeptical if I would proceed with it. I received a call from Amerisave offering to get me good rates but in order to do this was asked to give 500 dollars which I was not told was for the quotes. I backed down and decided not to go through with the process and now I'm told it was an application fee and non refundable. If this had been made clear to me from the beginning I would have not proceeded with the so called getting quotes. 500 is a lot of money for quotes. Sorry but I consider them predatory.,5
Sudeep,"Greer, SC","Reviewed March 1, 2021",Everything went well with AmeriSave. My loan rep was very good at replying to my messages and good at taking the loan quickly to underwriting. I'm very much satisfied with the rates I got. I'm still waiting for the closing check from them. I expect it this week.,5
Vicky,"San Francisco, CA","Reviewed March 1, 2021","We refinanced our investment property and in general, the process was very smooth. There were a couple of hiccups though. I sent a document, and then the request popped back again, but my loan officer fixed it right away. The rate and terms were nothing better we could ask too. AmeriSave's rates are very competitive if you are looking for a rental property refi. It’s the lowest rate I could find. Also, I would suggest that people look for a broker that other people recommend. Through me, I would totally refer my loan officer. He's awesome. He’s on top of everything and he responds right away.",5
Judy,"Bakersfield, CA","Reviewed March 1, 2021","AmeriSave said they could get me the lowest interest, and it went up some by the time it was lockdown. It just seemed like they jumped on it. But they were patient with the online stuff that I wasn't familiar with and guided me through the process so it worked out well.",4
Erin,"Trenton, NJ","Reviewed Feb. 28, 2021","I switched to AmeriSave as they had lower rates. I did a refinance with them and the process was smooth and seamless. It was so easy. Their online application process was very good and user-friendly. Rates-wise, I went from a 4.6 to a 2.6. The reps were very knowledgeable in the field and they answered all my questions. They were only a phone call away and were easy to get a hold of. They were super friendly. Everything was positive.",5
Mohit,"Hoover, AL","Reviewed Feb. 28, 2021","I asked my friend where he got his home loan refinanced and he told me that it was from AmeriSave. He gave me a reference. Everything was very comfortable, convenient, and excellent, so I'm really happy. If you want a fresh home loan or refinance a home loan without any headache and inconvenience, then go to AmeriSave.",5
Semaan,"South Hamilton, MA","Reviewed Feb. 27, 2021",This is my fifth time using AmeriSave. I did cash out with them. The online application process was pretty straightforward. The process was great and it took two to three weeks from the start to finish. My rates and terms were okay. That's the best we can get at that point and I have no problems with that. I'm very satisfied. The only thing is the law offices that AmeriSave uses were slow in getting the money to me and they were disorganized. That would be something that should be faster. ,5
Claudette,"Alexandria, VA","Reviewed Feb. 27, 2021","AmeriSave had great reviews and also reasonable interest rates. Jacob was awesome, and also, Angela, who was his processor. It's not my first refinance, so I had very specific questions and anything that I had concerns and questions about, the turnaround was very quick and the response was correct, educated, like they had a backup for whatever was happening. Overall, they did a great job. I cannot complain.",5
Robert,"Huntington Beach, CA","Reviewed Feb. 26, 2021",Was pleased with the services although making contact with agents was difficult at times. We certainly understand that Covid played a part in the process and would not hesitate to recommend the AmeriSave team to any of our friends.,4
Jeffrey,"Medford, OR","Reviewed Feb. 26, 2021","I went online and AmeriSave was one of the top 10. I happened to contact them through that. I also noticed that they had a lot of advertisements on TV, after the fact. I contacted them with an email then I received a phone call from one of the brokers there. They gave all the emails and they just told me what I needed to supply them with. I sent them PDFs of the information they needed for the loan. They got back to me if they needed something different or something else. The online application process was pretty good.",5
Salvatore,"Front Royal, VA","Reviewed Feb. 26, 2021",The application process with AmeriSave was very simple and the guys helped me. They were nice and very good people. The rates and terms of the mortgage was fair. It was very close to the advertising that I saw.,5
D.,"Sc, SC","Reviewed Feb. 25, 2021","Refinancing is a long process. So, the beginning phone calls are probably the most important because those are the time you are entering this thing and getting more detailed information. Every time I call AmeriSave, the rep there picks up the phone. They helped me all the time in the first half of the process. That's good enough for me and that's why I like AmeriSave. They also had a lower rate. After the first part of the process, their rep was no longer there always talking to me. I understand that. I'm doing a second mortgage with them as well.",4
Dave,"Sterling, VA","Reviewed Feb. 25, 2021",I got a cash out refinance from AmeriSave and the process was great as well as the rep. The rate and terms were as good as I was gonna find.,5
John,"Doylestown, PA","Reviewed Feb. 24, 2021",It was great with Amerisave. The person that called me back right away was very professional and knowledgeable compared to a few of the others. It was a search I had done on the internet and I got calls back from three or four different companies. Amerisave was by far the best impression. They had the best rates and the total costs of the loan were very good. There were no surprise fees. They also made the closing very easy.,5
CAROL,"Saint Cloud, FL","Reviewed Feb. 24, 2021","We started a mortgage refinance December 11, 2020. Today is February 23, 2021 with no closing date in sight. Our account manager, Brett, will not lock in a rate for us. We paid the $500 fee over a month ago, which we were told would lock the rate. Brett now says the rate won't be locked until almost closing. He said as of today, February 23, 2021 rates have gone up from when we first started the process so we have to pay more points if we want our original rate.",1
David,"North Andover, MA","Reviewed Feb. 24, 2021","The process is terrible. But the person who ran the process was the most helpful person I've ever worked with. I've done this before. It was the first time that I did it with one of these national things where everything literally is done through the internet. I had a woman named Jessica and of all the people who called me when I was trying to decide what I wanted to do, she kept, not nagging me, but saying, “Hey, I'm here.” And that worked out good. I finally said, “Okay, I'll see what she's got.” And I said, “I want to have the lowest interest rate possible so that my monthly payment would be as low as possible.” That means that I don't have to worry about having some excess points sitting around. Because I can always deduct that, assuming we go back to that normal tax thing.",4
Laura,"Apopka, FL","Reviewed Feb. 24, 2021",I was satisfied with the services that AmeriSave gave to me. The online application process was very good and customer service team was always very cordial. I asked them questions and they clarified everything else. The rates and terms were the best options that I got.,5
Ismael,"Morrisville, NC","Reviewed Feb. 23, 2021","Excellent customer first approach and delivery. They supported and clarified all my concerns promptly. As I am not too versed in the ins and outs of the mortgage process I needed much instruction and even reassurance which I got. Closing was a breeze in my own home, perfect!",5
Devin,"Essex, MD","Reviewed Feb. 23, 2021",Mae did a great job of informing me about different options with my refinance. She had quick response time w/ emails and was very pleasant to deal with. I will definitely be recommending her for friends and family in the future!,5
Le,"Millburn, NJ","Reviewed Feb. 23, 2021","AmeriSave had a better rate and was really good. Craig was extremely professional, efficient, and answered all my questions. The entire process was super smooth. What really bothers me is this autopay thing. I still don't have clear instructions about how to set it up. I cannot care less because they're the ones who get paid and I don't know what they want. I emailed them several times about it and no one answered me. Getting paid should be the easiest thing because it's in their interest.",5
Marcy,"Estero, FL","Reviewed Feb. 22, 2021",We worked with Mae **. She was the best. Very efficient! followed through on every email/question we had in a very timely manner. Was an absolute pleasure to work with. Mae and Amerisave made our refinance an easy process. We would highly recommend them!!!,5
Adam,"Wasilla, AK","Reviewed Feb. 22, 2021","Everybody was refinancing so it took the title company a bit of time. We started at the end of October and we didn't sign closing ‘til January. But the rates and terms were pretty good. Overall, it was pretty painless.",5
Anthony,"Oregon City, OR","Reviewed Feb. 21, 2021",We refinanced a couple of years ago and we had it took forever. This one was really quick. The application process was easy. The rate and the terms we got were excellent. Couldn't beat it. I was happy with the way everything went. It was a good experience.,5
Omar,"Katy, TX","Reviewed Feb. 20, 2021","The rep was very good and helpful during our refinance with AmeriSave. But the application and underwriting process took a long time. They said it was because of the delay on the mortgage insurance. It took at least three months to close it. In the mortgage that I had before with Cardinal, I was given a date since Day One. They said that they were gonna close at this date and they were very tight on time. We had plenty of time. But with AmeriSave, I didn’t have a closing date at first. After three months, I got a call and they said that they could close after a week. Other than that, everything else was good with AmeriSave. I'm happy.",5
Stephen,"Baltimore, MD","Reviewed Feb. 19, 2021",My experience with Amerisave was excellent. We had a wonderful loan officer Katie **. She kept my wife and I up to date during the entire process. I would highly recommend AmeriSave Mortgage if you want to save money with a lower rate.,5
Ronald,"Henderson, NV","Reviewed Feb. 19, 2021",The application process with AmeriSave was fairly easy and dealing with the rep was good. I have no complaints. The rates and terms were very good.,5
